Gen,Genesis
Exod,Exodus
Lev,Leviticus
Num,Numbers
Deut,Deuteronomy
Josh,Joshua
Judg,Judges
Ruth,Ruth
1-2 Sam,1-2 Samuel
1 Sam,1 Samuel
2 Sam,2 Samuel
1-2 Kings,1-2 Kings
1 Kings,1 Kings
2 Kings,2 Kings
1-2 Chron,1-2 Chronicles
1 Chron,1 Chronicles
2 Chron,2 Chronicles
Ezra,Ezra
Neh,Nehemiah
Esther,Esther
Job,Job
Ps,Psalms
Pss,Psalms
Prov,Proverbs
Eccles,Ecclesiastes
Song of Sol,Song of Solomon
Isa,Isaiah
Jer,Jeremiah
Lam,Lamentation
Ezek,Ezekiel
Dan,Daniel
Hosea,Hosea
Joel,Joel
Amos,Amos
Obad,Obadiah
Jon,Jonah
Mic,Micah
Nah,Nahum
Hab,Habakkuk
Zeph,Zephaniah
Hag,Haggai
Zech,Zechariah
Mal,Malachi
Tob,Tobit
Jdt,Judith
Add Esth,Additions to Esther
Wis,Wisdom of Solomon
Sir,Sirach
Ecclus,Sirach
Bar,Baruch
Ep Jer,Epistle of Jeremiah
Pr Azar,Prayer of Azariah
Sus,Susanna
Bel,Bel and the Dragon
1 Macc,1 Maccabees
2 Macc,2 Maccabees
3 Macc,3 Maccabees
4 Macc,4 Maccabees
1 Esd,1 Esdras
2 Esd,2 Esdras
Pr Man,Prayer of Manasseh
Ps 151,Psalm 151
Odes,Odes
Wis Sol,Wisdom of Solomon
1 Enoch,1 Enoch
2 Enoch,2 Enoch
3 Enoch,3 Enoch
Jub,Jubilees
Jos Asen,Joseph and Aseneth
Matt,Matthew
Mark,Mark
Luke,Luke
John,John
Acts,Acts
Rom,Romans
1-2 Cor,1-2 Corinthians
1 Cor,1 Corinthians
2 Cor,2 Corinthians
Gal,Galatians
Eph,Ephesians
Phil,Philippians
Col,Colossians
1-2 Thess,1-2 Thessalonians
1 Thess,1 Thessalonians
2 Thess,2 Thessalonians
1-2 Tim,1-2 Timothy
1 Tim,1 Timothy
2 Tim,2 Timothy
Titus,Titus
Philem,Philemon
Heb,Hebrews
James,James
1-2 Pet,1-2 Peter
1 Pet,1 Peter
2 Pet,2 Peter
1-3 John,1-3 John
1 John,1 John
2 John,2 John
3 John,3 John
Jude,Jude
Rev,Revelation
